date,open,close,high,low,volume,amount,amplitude_pct,pct_change,change,turnover_pct,source
2026-04-03,63.83,61.58,64.43,61.51,13561,85314913.91,4.59,-3.15,-2.00,3.77,eastmoney
2026-04-07,61.60,61.95,62.66,61.44,7050,43883794.84,1.98,0.60,0.37,1.96,eastmoney
2026-04-08,62.85,63.82,64.41,62.15,14740,93438751.18,3.65,3.02,1.87,4.09,eastmoney
2026-04-09,63.23,60.23,63.37,59.21,31263,189898099.92,6.52,-5.63,-3.59,8.68,eastmoney
2026-04-10,60.28,61.97,62.49,59.85,18074,111790611.39,4.38,2.89,1.74,5.02,eastmoney
2026-04-13,61.82,61.43,62.38,60.03,13013,79490248.27,3.79,-0.87,-0.54,3.61,eastmoney
2026-04-14,61.87,63.03,63.49,61.01,14360,90124950.72,4.04,2.60,1.60,3.99,eastmoney
2026-04-15,63.03,62.89,63.33,61.98,12097,75948410.06,2.14,-0.22,-0.14,3.36,eastmoney
2026-04-16,62.73,63.22,63.66,62.01,13879,87501746.06,2.62,0.52,0.33,3.85,eastmoney
2026-04-17,63.05,63.93,64.70,62.14,9175,58484012.04,4.05,1.12,0.71,2.55,eastmoney
2026-04-20,63.98,62.45,64.51,62.08,13526,85158063.00,3.80,-2.32,-1.48,3.76,eastmoney
2026-04-21,62.16,63.22,63.42,62.16,8618,54351568.77,2.02,1.23,0.77,2.39,eastmoney
2026-04-22,62.81,63.34,63.70,62.47,6746,42715172.00,1.95,0.19,0.12,1.87,eastmoney
2026-04-23,63.08,63.63,63.83,61.91,11336,71617555.39,3.03,0.46,0.29,3.15,eastmoney
2026-04-24,63.26,62.47,65.39,62.38,16229,103793503.01,4.73,-1.82,-1.16,4.51,eastmoney
2026-04-27,61.63,56.21,62.02,56.21,37011,210893809.87,9.30,-10.02,-6.26,10.28,eastmoney
2026-04-28,55.79,53.31,55.79,52.15,36958,197058269.86,6.48,-5.16,-2.90,10.26,eastmoney
2026-04-29,52.51,55.33,56.03,52.33,25498,138825888.12,6.94,3.79,2.02,7.08,eastmoney
2026-04-30,55.08,56.85,58.67,54.83,30850,177668461.24,6.94,2.75,1.52,8.57,eastmoney
2026-05-06,56.89,56.40,57.38,55.71,20185,114474938.76,2.94,-0.79,-0.45,5.61,eastmoney
2026-05-07,56.78,56.70,57.21,56.27,13488,76685251.70,1.67,0.53,0.30,3.75,eastmoney
2026-05-08,56.70,57.58,57.71,56.15,13029,74693787.20,2.75,1.55,0.88,3.62,eastmoney
2026-05-11,57.83,63.36,63.36,57.59,36986,229125264.32,10.02,10.04,5.78,10.27,eastmoney
2026-05-12,64.44,60.44,65.32,60.33,47669,296796570.70,7.88,-4.61,-2.92,13.24,eastmoney
2026-05-13,61.18,59.38,61.54,59.11,24714,148615567.49,4.02,-1.75,-1.06,6.86,eastmoney
2026-05-14,59.60,59.83,61.24,59.58,23399,141821542.70,2.80,0.76,0.45,6.50,eastmoney
2026-05-15,60.17,58.51,60.38,57.73,16736,98982045.23,4.43,-2.21,-1.32,4.65,eastmoney
2026-05-18,58.38,57.18,58.94,56.23,18639,106843937.94,4.63,-2.27,-1.33,5.18,eastmoney
2026-05-19,56.86,57.09,57.38,56.44,9419,53770330.00,1.64,-0.16,-0.09,2.62,eastmoney
2026-05-20,56.94,56.67,57.21,55.42,10193,57444929.93,3.14,-0.74,-0.42,2.83,eastmoney
2026-05-21,56.68,55.17,57.81,55.16,11836,67227160.21,4.68,-2.65,-1.50,3.29,eastmoney
2026-05-22,55.23,54.65,55.54,54.28,10304,56586573.38,2.28,-0.94,-0.52,2.86,eastmoney
2026-05-25,54.83,54.27,54.83,53.36,8493,46031584.01,2.69,-0.70,-0.38,2.36,eastmoney
2026-05-26,54.22,53.81,54.22,53.03,6606,35454598.05,2.19,-0.85,-0.46,1.83,eastmoney
2026-05-27,53.60,51.96,54.06,51.72,11941,62777213.18,4.35,-3.44,-1.85,3.32,eastmoney
2026-05-28,51.93,50.63,51.94,50.26,12502,63692906.63,3.23,-2.56,-1.33,3.47,eastmoney
2026-05-29,50.35,51.43,52.61,50.35,15996,82606272.02,4.46,1.58,0.80,4.44,eastmoney
2026-06-01,51.39,49.76,51.39,49.43,16038,80584649.48,3.81,-3.25,-1.67,4.45,eastmoney
2026-06-02,49.77,48.89,49.77,47.35,18292,88974296.00,4.86,-1.75,-0.87,5.08,eastmoney
2026-06-03,49.06,47.26,49.06,46.90,21000,99705773.33,4.42,-3.33,-1.63,5.83,eastmoney
2026-06-04,47.00,45.49,47.01,45.12,16044,73432397.70,4.00,-3.75,-1.77,4.46,eastmoney
2026-06-05,45.80,45.43,46.21,44.58,15648,71082722.85,3.58,-0.13,-0.06,4.35,eastmoney
2026-06-08,44.39,42.99,45.15,42.71,16838,73682438.03,5.37,-5.37,-2.44,4.68,eastmoney
2026-06-09,43.88,42.95,44.26,42.25,14323,61586995.45,4.68,-0.09,-0.04,3.98,eastmoney
2026-06-10,43.32,43.04,43.39,42.03,15746,67409390.05,3.17,0.21,0.09,4.37,eastmoney
2026-06-11,42.82,42.21,43.10,41.90,9263,39261533.88,2.79,-1.93,-0.83,2.57,eastmoney
2026-06-12,42.66,44.88,44.90,42.34,22904,100685043.82,6.06,6.33,2.67,6.36,eastmoney
2026-06-15,44.97,45.50,45.50,44.33,18835,84706116.59,2.61,1.38,0.62,5.23,eastmoney
2026-06-16,45.29,44.35,45.29,43.73,13312,58894106.74,3.43,-2.53,-1.15,3.70,eastmoney
2026-06-17,43.99,44.42,44.60,43.70,8372,36914234.19,2.03,0.16,0.07,2.32,eastmoney
2026-06-18,44.43,44.11,44.68,43.62,8159,36028060.70,2.39,-0.70,-0.31,2.27,eastmoney
2026-06-22,43.75,43.80,43.89,42.00,11502,49389063.86,4.28,-0.70,-0.31,3.19,eastmoney
2026-06-23,43.50,42.56,44.49,42.51,15928,69165279.24,4.52,-2.83,-1.24,4.42,eastmoney
2026-06-24,43.03,41.33,43.14,41.32,15126,63155260.78,4.28,-2.89,-1.23,4.20,eastmoney
2026-06-25,40.99,41.03,42.15,40.13,16201,66542485.00,4.89,-0.73,-0.30,4.50,eastmoney
2026-06-26,40.72,39.37,41.03,39.27,18241,72646386.67,4.29,-4.05,-1.66,5.07,eastmoney
